# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches dhcf.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Medicaid Reimbursement to Nursing Facilities Participating in the District of Columbia Medicaid Program | dhcf,/page/medicaid-reimbursement-nursing-facilities-participating-district-columbia-medicaid-program,74,47,1.574468085106383,25.95744680851064,252,0,0
Supplemental Security Income (SSI) Program | dhcf,/node/892342,74,63,1.1746031746031746,30.714285714285715,191,0,0
Transmittal 25-23 - Reporting of DCSP Actuals for CY2025 | dhcf,/publication/transmittal-25-23-reporting-dcsp-actuals-cy2025,74,49,1.510204081632653,12.285714285714286,216,0,0
"Transmital 22-34 - Doula Benefit, Provider Qualifications and Enrollment, Rates and Reimbursement Standards | dhcf",/node/1622911,72,47,1.5319148936170213,13.425531914893616,224,0,0
ACA Eligibility State Plan Amendments | dhcf,/page/aca-eligibility-state-plan-amendments,69,59,1.1694915254237288,12.796610169491526,263,0,0
DHCF Medicaid Updates - 2023 | dhcf,/page/dhcf-medicaid-updates2023,69,48,1.4375,30.166666666666668,235,0,0
EVV Training | dhcf,/page/evv-training,69,43,1.6046511627906976,73.46511627906976,215,0,0
Important Message About the District’s CHIP Program | dhcf,/page/important-message-about-district’s-chip-program,69,55,1.2545454545454546,25.927272727272726,220,0,0
Presumptive Eligibility | dhcf,/service/presumptive-eligibility,68,56,1.2142857142857142,29.446428571428573,220,0,0
Provider Self-Audit | dhcf,/page/provider-self-audit,68,39,1.7435897435897436,25.384615384615383,233,0,0
"Transmittal 24-39 - Medicaid Rate Updates for PCA Services, Effective January 1, 2025 | dhcf",/publication/transmittal-24-39-medicaid-rate-updates-pca-services-effective-january-1-2025,68,54,1.2592592592592593,10.574074074074074,234,0,0
Transmittal 25-28: Medicaid Dental Service Rate Update | dhcf,/publication/transmittal-25-28-medicaid-dental-service-rate-update,68,54,1.2592592592592593,14.37037037037037,234,0,0
Transmittal 25-21 - Notice of Intent to Discontinue Coverage of OTC COVID-19 Testing Kits | dhcf,/node/1791986,67,47,1.425531914893617,12.297872340425531,202,0,0
Medicaid Eligibility Programs | dhcf,/node/892132,66,58,1.1379310344827587,30.862068965517242,185,0,0
Benjamin Ebeigbe | dhcf,/biography/benjamin-ebeigbe,64,51,1.2549019607843137,22.019607843137255,219,0,0
Frequently Asked Questions (FAQs) - EVV | dhcf,/page/frequently-asked-questions-faqs-evv,63,49,1.2857142857142858,5.979591836734694,201,0,0
