# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches ouc.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Bowser Administration Introduces Rave Panic Button to Streamline Data and Communication Sharing During Emergency Events | OUC,/release/bowser-administration-introduces-rave-panic-button-streamline-data-and-communication-sharing,17,15,1.1333333333333333,64.26666666666667,65,0,0
"Mayor Bowser Reopens the Public Safety Communications Center Following $18.5M Renovation, Highlights FY26 Public Safety Investments | OUC",/release/mayor-bowser-reopens-public-safety-communications-center-following-185m-renovation,17,13,1.3076923076923077,39.84615384615385,51,0,0
UCC Project Summary Sheet | OUC,/publication/ucc-project-summary-sheet,17,16,1.0625,2.8125,57,0,0
danielle.drumgoole | OUC,/users/danielledrumgoole,17,2,8.5,37.5,36,0,0
"Bowser Administration Launches New “Make the Right Call” Campaign, Urging Residents to Only Use 911 for Emergencies | OUC",/release/bowser-administration-launches-new-“make-right-call”-campaign-urging-residents-only-use-911,16,14,1.1428571428571428,9,51,0,0
Office of Unified Communications Tour Request Form | OUC,/node/1659571,16,13,1.2307692307692308,5.461538461538462,44,0,0
We are sorry; the page you requested is no longer available. | OUC,/node/1686866,16,15,1.0666666666666667,3.2666666666666666,67,0,0
We are sorry; the page you requested is no longer available. | OUC,/release/ouc-statement-october-10-2022-incident-1300-block-massachusetts-ave-nw,16,13,1.2307692307692308,2.769230769230769,70,0,0
911 for Emergency Services | OUC,/fr/page/911-for-emergency-services,15,13,1.1538461538461537,14.461538461538462,49,0,0
Page not found | OUC,/arcgis/rest/services,15,15,1,3.466666666666667,59,0,0
Services | OUC,/services,15,15,1,14.333333333333334,41,0,0
| Page 7 | OUC,/node,15,15,1,1.8666666666666667,59,0,0
| Page 9 | OUC,/node,15,15,1,2.2666666666666666,56,0,0
