# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches octo.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Events | octo,/calendar/year,41,39,1.0512820512820513,1.9230769230769231,189,0,0
Services | Page 2 | octo,/services,41,39,1.0512820512820513,22.58974358974359,117,0,0
DC Gov Awards | octo,/am/page/dc-gov-awards,40,41,0.975609756097561,2.4390243902439024,185,0,0
DC One Card - Frequently Asked Questions | octo,/es/page/dc-one-card-frequently-asked-questions,40,38,1.0526315789473684,1.9473684210526316,187,0,0
Events | octo,/calendar/month/2024-05,40,36,1.1111111111111112,2.111111111111111,180,0,0
Events | octo,/calendar/month/2025-02,40,39,1.0256410256410255,1.9487179487179487,187,0,0
Events | octo,/calendar/year/2024,40,37,1.0810810810810811,2.108108108108108,174,0,0
GIS as a Service | octo,/external-link/gis-service,40,38,1.0526315789473684,0.5,174,0,0
ESRI website | octo,/external-link/esri-website,39,38,1.0263157894736843,1.4736842105263157,162,0,0
Events | octo,/calendar/day/2025-08-07,39,38,1.0263157894736843,1.7105263157894737,177,0,0
Events | octo,/calendar/month/2025-06,39,40,0.975,1.575,177,0,0
Remote Access Policy | octo,/node/1285216,39,29,1.3448275862068966,41.6551724137931,117,0,0
Apps for iOS | octo,/node/726312,38,36,1.0555555555555556,0.3888888888888889,164,0,0
Events | octo,/calendar/day/2025-08-05,38,39,0.9743589743589743,2.2564102564102564,176,0,0
Events | octo,/calendar/month/2024-11,38,38,1,2,177,0,0
Clean Desk Policy | octo,/publication/clean-desk-policy,37,33,1.121212121212121,14.242424242424242,135,0,0
Email Use Policy | octo,/node/707082,37,26,1.4230769230769231,84.42307692307692,97,0,0
Events | octo,/calendar/day/2025-02-12,37,34,1.088235294117647,1.5588235294117647,169,0,0
Events | octo,/calendar/month/2024-01,37,36,1.0277777777777777,3.361111111111111,165,0,0
Events | octo,/calendar/month/2024-07,37,38,0.9736842105263158,3.8421052631578947,164,0,0
Events | octo,/calendar/month/2025-05,37,37,1,2.324324324324324,170,0,0
Events | octo,/calendar/month/2025-09,37,34,1.088235294117647,3.2941176470588234,162,0,0
Events | octo,/calendar/week/2025-W31,37,36,1.0277777777777777,2.4444444444444446,167,0,0
Vulnerability Management Policy | octo,/node/1523591,37,18,2.0555555555555554,32.333333333333336,112,0,0
ArcGIS for Desktop | octo,/node/726252,36,35,1.0285714285714285,0.4857142857142857,152,0,0
Contingency Planning Policy | octo,/node/1523526,36,16,2.25,34.0625,100,0,0
DC.Gov Web Style Guide | octo,/node/706822,36,28,1.2857142857142858,4.25,87,0,0
Events | octo,/calendar/month/2025-08,36,36,1,2.4444444444444446,162,0,0
OCTO Programs | octo,/es/octo-programs,36,19,1.894736842105263,26.57894736842105,103,0,0
OCTO 语言服务 口译 | octo,/page/octo-语言服务-口译,36,34,1.0588235294117647,2.323529411764706,157,0,0
We are sorry; the page you requested is no longer available. | octo,/page/use-dc-one-card,36,31,1.1612903225806452,3.2903225806451615,86,0,0
Zoning Map | octo,/service/zoning-map,36,33,1.0909090909090908,5.181818181818182,129,0,0
| octo,/node,36,25,1.44,8.6,127,0,0
Events | octo,/calendar/month/2024-03,35,36,0.9722222222222222,1.9722222222222223,167,0,0
MPDC website | octo,/external-link/mpdc-website,35,34,1.0294117647058822,1.911764705882353,156,0,0
Servicios OCTO Interpretaciones de idiomas | octo,/node/1676926/,35,24,1.4583333333333333,20.625,84,0,0
Solicite la tarjeta “DC One Card” | octo,/node/1138371,35,26,1.3461538461538463,42.73076923076923,86,0,0
Category Features | octo,/external-link/category-features,34,35,0.9714285714285714,0.6857142857142857,143,0,0
Digital Equity Plan | octo,/featured-content/digital-equity-plan,34,26,1.3076923076923077,28.115384615384617,115,0,0
Events | octo,/calendar/month/2025-07,34,34,1,1.9411764705882353,150,0,0
Information Security Program Management Policy | octo,/publication/information-security-program-management-policy,34,28,1.2142857142857142,44.07142857142857,116,0,0
Reasons to Use Web Services | octo,/node/709772,34,33,1.0303030303030303,2.3333333333333335,164,0,0
Data and Records Retention Policy | octo,/node/1523531,33,29,1.1379310344827587,28.03448275862069,91,0,0
Download the MAR Geocoder | octo,/service/download-mar-geocoder,33,28,1.1785714285714286,15.892857142857142,117,0,0
Events | octo,/calendar/month/2025-12,33,34,0.9705882352941176,2.235294117647059,147,0,0
Initiatives | octo,/page/initiative,33,27,1.2222222222222223,10.481481481481481,93,0,0
Master Address Repository | octo,/node/715602,33,25,1.32,19.04,108,0,0
Network Access Policy | octo,/node/1285201,33,24,1.375,23.125,83,0,0
OCTO Usability Lab | octo,/octo-usability-lab,33,31,1.064516129032258,25.516129032258064,115,0,0
Risk Assessment Policy | octo,/publication/risk-assessment-policy,33,29,1.1379310344827587,47.06896551724138,134,0,0
We are sorry; the page you requested is no longer available. | octo,/blog/octo-launches-new-usability-lab-seeks-volunteers-test-government-sites-applications,33,32,1.03125,1.5,118,0,0
Esri and the District of Columbia Partner to Launch DC’s AI-Powered ‘Compass’ | octo,/release/esri-and-district-columbia-partner-launch-dcs-ai-powered-compass,32,30,1.0666666666666667,17.133333333333333,127,0,0
Ask the Chief Technology Officer | octo,/external-link/ask-chief-technology-officer,31,31,1,0.7419354838709677,68,0,0
Events | octo,/calendar/year/2026,31,31,1,2.2903225806451615,154,0,0
FirstNet | octo,/page/firstnet,31,30,1.0333333333333334,5.233333333333333,98,0,0
Information Security Program Management Policy | octo,/node/1523601,31,21,1.4761904761904763,25.142857142857142,93,0,0
Patch Management Policy | octo,/publication/octo-patch-management-policy,31,20,1.55,59.85,113,0,0
Cyber Security Incident Response Team Policy | octo,/publication/cyber-security-incident-response-team-policy,30,31,0.967741935483871,23.06451612903226,99,0,0
DC Names New Chief Information Security Officer (CISO) | octo,/release/dc-names-new-chief-information-security-officer-ciso,30,27,1.1111111111111112,21.48148148148148,107,0,0
