# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches dmv.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Buying and Selling a Vehicle | dmv,/service/buying-and-selling-vehicle,1998,1433,1.394277739009072,14.63433356594557,5779,0,0
Medical/Eye Report | dmv,/publication/medicaleye-report,1953,1421,1.374384236453202,14.71850809289233,6009,0,0
Personalized Tags | dmv,/service/personalized-tags,1949,1279,1.5238467552775605,28.14151681000782,6613,0,0
Medical/Eye Report | dmv,/node/136022,1938,1108,1.7490974729241877,19.80505415162455,5640,0,0
Obtain a REAL ID Learner Permit | dmv,/service/obtain-real-id-learner-permit,1938,1235,1.5692307692307692,59.41376518218623,6246,0,0
Parking Permit / Reciprocity Fees | dmv,/book/vehicle-fees/parking-permit-reciprocity,1911,1453,1.315209910529938,101.07088781830696,5177,0,0
Ticket Services | dmv,/node/1119621,1899,1672,1.1357655502392345,21.29964114832536,4998,0,0
Commercial Driver License | dmv,/cdlinfo,1873,1125,1.6648888888888889,57.522666666666666,5668,0,0
Driver License for Non-US Citizens | dmv,/node/1119126,1854,1463,1.2672590567327409,40.289131920710865,5048,0,0
DC DMV Limited Purpose Driver License | dmv,/node/1119117,1822,1563,1.165706973768394,19.53998720409469,4751,0,0
Tag Transfer | dmv,/service/tag-transfer,1812,1281,1.414519906323185,37.44340359094458,5457,0,0
District Residency and Documentation for Vehicle Registrations | dmv,/service/district-residency-and-documentation-vehicle-registrations,1799,1425,1.2624561403508772,31.501052631578947,4775,0,0
To Pass the DC DMV Vehicle Inspection | dmv,/service/pass-dc-dmv-vehicle-inspection,1789,1451,1.2329427980702963,27.5079255685734,5169,0,0
DC Residents Can Get Earlier Notice About Ticket Updates With Changes in Ticket Alert Service (TAS) | dmv,/node/1637421,1778,1515,1.1735973597359737,26.543234323432344,4721,0,0
CDL Knowledge Tests | dmv,/service/cdl-knowledge-tests,1776,1044,1.7011494252873562,112.70785440613027,5600,0,0
National Motor Vehicle Title Information System (NMVTIS) | dmv,/service/national-motor-vehicle-title-information-system-nmvtis,1755,1426,1.2307152875175316,26.984572230014024,6541,0,0
Verify Residence Address | dmv,/page/verify-residence-address,1750,1018,1.719056974459725,39.13261296660118,5623,0,0
"REAL ID Proof of Identity-Full Legal Name, Date of Birth and Lawful Presence | dmv",/proofofidentity,1675,1407,1.1904761904761905,38.237384506041224,4914,0,0
DC DMV Digital Registration Card | dmv,/page/dc-dmv-digital-registration-card,1674,1204,1.3903654485049834,57.42524916943522,5100,0,0
Disability Tags and Placards/Permits | dmv,/service/dmv-disability-tags-and-placards,1653,1186,1.3937605396290051,33.919055649241145,4926,0,0
Suspended or Revoked License | dmv,/service/suspended-or-revoked-license,1633,1200,1.3608333333333333,35.531666666666666,5117,0,0
Motion to Vacate Default Judgment | dmv,/node/1625956,1628,1270,1.2818897637795275,47.17874015748031,4467,0,0
Motion to Vacate Default Judgment Instructions | dmv,/node/136112,1621,1089,1.4885215794306703,45.62442607897153,4531,0,0
GRAD License Program | dmv,/node/1119181,1596,1169,1.3652694610778444,51.887082976903336,4220,0,0
DC DMV Document Verification Guide | dmv,/page/dc-dmv-document-verification-guide,1590,1240,1.282258064516129,27.267741935483873,5008,0,0
Driver Point System Chart | dmv,/page/point-system-chart,1581,1161,1.3617571059431524,41.78294573643411,4785,0,0
Application for Disability Parking Placard or Tags | dmv,/dpptagsapplication,1565,1185,1.3206751054852321,17.735021097046413,4942,0,0
Vehicle Insurance | dmv,/node/1118962,1564,1175,1.3310638297872341,58.35574468085106,4146,0,0
REAL ID Driver License and Non-Driver IDs | dmv,/service/real-id-driver-license-and-non-driver-ids,1554,1201,1.2939217318900915,40.661115736885925,4457,0,0
Certification of Eligibility for Provisional and Full Licenses With Conditions | dmv,/node/1117712,1511,975,1.5497435897435898,24.335384615384616,4399,0,0
Eligibility for Free Non-Driver ID | dmv,/node/1120181,1505,1292,1.164860681114551,31.768575851393187,3932,0,0
Mail Adjudication Form | dmv,/node/136132,1502,1191,1.2611251049538204,14.46767422334173,4108,0,0
Defensive Driving Course | dmv,/service/defensive-driving-course,1463,1002,1.4600798403193613,23.369261477045907,5552,0,0
Replace a Non-Driver ID Card | dmv,/node/1119156,1458,1052,1.3859315589353611,41.79277566539924,4004,0,0
Salvage Vehicle Title/Registration | dmv,/service/salvage-vehicle-titleregistration,1457,951,1.5320715036803365,52.294426919032595,4470,0,0
Tag Replacement | dmv,/service/tag-replacement,1442,951,1.5162986330178758,47.02628811777077,4270,0,0
Page not found | dmv,/service/pay-tickets.,1410,1119,1.260053619302949,31.88739946380697,4863,0,0
Inspection Sticker Renewals | dmv,/service/inspection-sticker-renewals,1402,1038,1.3506743737957612,41.84104046242775,4021,0,0
Excise Tax Exemptions List | dmv,/node/155352,1400,1092,1.2820512820512822,18.321428571428573,4354,0,0
Full License with Conditions | dmv,/service/full-license-conditions,1396,1007,1.3862959285004965,35.36047666335651,4310,0,0
Vehicle Inspections | dmv,/service/vehicle-inspections,1395,981,1.4220183486238531,52.74413863404689,4407,0,0
Driver Record Online Portal | dmv,/page/driver-record-online-portal,1394,1007,1.384309831181728,28.856007944389276,4845,0,0
About DC DMV | dmv,/page/about-dc-dmv,1372,1053,1.3029439696106362,25.35422602089269,3780,0,0
Español (Spanish) | dmv,/page/español-spanish,1357,1078,1.2588126159554731,42.20222634508349,3969,0,0
License Reinstatement | dmv,/node/1119132,1346,928,1.4504310344827587,44.678879310344826,3800,0,0
We are sorry; the page you requested is no longer available. | dmv,/main.shtm,1337,837,1.5973715651135005,18.24372759856631,4078,0,0
Eligibility for Free Non-Driver ID | dmv,/service/eligibility-free-non-driver-id,1333,979,1.3615934627170583,48.0582226762002,3920,0,0
Motorcycle Endorsement | dmv,/service/get-motorcycle-endorsement,1326,820,1.6170731707317074,50.915853658536584,4281,0,0
License Reinstatement | dmv,/service/license-reinstatement,1311,850,1.5423529411764705,45.87764705882353,3913,0,0
Road Skills Test Requirements | dmv,/service/dmv-road-skills-test-requirements,1298,904,1.4358407079646018,51.36946902654867,3931,0,0
DC DMV Tag Variations | dmv,/node/1686386,1293,989,1.307381193124368,14.03943377148635,4329,0,0
