# Hostname exactly matches dpr.dc.gov,,
# Start date: 20250916,,
# End date: 20251216,,
,,
Page title and screen class,Page path and screen class,Views
Afternoon Access | dpr,/page/afternoon-access-20162017,1
Afterschool Meals Start at Select Recreation Centers | dpr,/release/afterschool-meals-start-select-recreation-centers,7
"Ahead of DCPS Spring Break, Mayor Bowser Encourages Families to Explore Programming for Kids and Teens | dpr",/release/ahead-dcps-spring-break-mayor-bowser-encourages-families-explore-programming-kids-and-teens,4
All DPR Aquatic Facilities to Close for the 27th Annual Black History Invitational Swim Meet Weekend | dpr,/release/all-dpr-aquatic-facilities-close-27th-annual-black-history-invitational-swim-meet-weekend,5
All DPR Facilities Closed for the Veterans Day Holiday | dpr,/release/all-dpr-facilities-closed-veterans-day-holiday,1
All Hallows' Eve - Chevy Chase Community Center | dpr,/fr/event/all-hallows-eve-chevy-chase-community-center,9
All Spray Parks Close for the Season | dpr,/event/all-spray-parks-close-season,4
Alternative Building Materials - Deanwood Recreation Center | dpr,/event/alternative-building-materials-deanwood-recreation-center,3
Amharic (አማርኛ) | dpr,/am/page/dpr-amharic-አማርኛ-9,0
Amharic (አማርኛ) | dpr,/es/page/dpr-amharic-አማርኛ-9,4
Amharic (አማርኛ) | dpr,/page/dpr-amharic-አማርኛ-9,17
Anacostia Fitness Center Renovation | dpr,/page/anacostia-fitness-center-renovation,1
Anacostia Pool | dpr,/page/anacostia-pool,139
Anacostia Recreation Center | dpr,/node/1239476,132
Anacostia Recreation Center | dpr,/page/anacostia-recreation-center-01,384
Anacostia Recreation Center | dpr,/page/anacostia-recreation-center-01/,2
Annual Community Day - North Michigan Park Recreation Center | dpr,/event/annual-community-day-north-michigan-park-recreation-center,1
Annual DC Senior Games | dpr,/es/service/annual-dc-senior-games,10
Annual DC Senior Games | dpr,/service/annual-dc-senior-games,452
Annual March Madness Basketball Tournament - Ridge Road Recreation Center | dpr,/event/annual-march-madness-basketball-tournament-ridge-road-recreation-center,2
Annual Sew 'N' Know Holiday Bazaar - Southeast Tennis and Learning Center | dpr,/event/annual-sew-n-know-holiday-bazaar-southeast-tennis-and-learning-center,2
Annual Spring Cleaning and Planting - Sherwood Recreation Center | dpr,/event/annual-spring-cleaning-and-planting-sherwood-recreation-center,2
Annual Thanksgiving Luncheon - Bald Eagle Recreation Center | dpr,/am/event/annual-thanksgiving-luncheon-bald-eagle-recreation-center,4
"Annual Ward 7 ""House of Horror"" Haunted House - Fort Davis Community Center | dpr",/event/annual-ward-7-house-horror-haunted-house-fort-davis-community-center,1
"Annual Ward 7 ""House of Walkers and Freaks"" Haunted House - Fort Davis Community Center | dpr",/event/annual-ward-7-house-walkers-and-freaks-haunted-house-fort-davis-community-center,1
Annual Ward 7 Tween and Teen Club Feed the Homeless Program - Fort Davis Community Center | dpr,/event/annual-ward-7-tween-and-teen-club-feed-homeless-program-fort-davis-community-center,2
Annual Ward 8 Breast Cancer Awarness Day | dpr,/page/annual-ward-8-breast-cancer-awarness-day,33
Annual Ward 8 Breast Cancer Awarness Day | dpr,/page/annual-ward-8-breast-cancer-walk,1
Apply for a Permit | dpr,/ar/permits,3
Apply for a Permit | dpr,/es/permits,5
