# Hostname exactly matches does.dc.gov,,
# Start date: 20250916,,
# End date: 20251216,,
,,
Page title and screen class,Page path and screen class,Views
District of Columbia Unemployment Rate at 6.2 Percent in September | does,/release/district-columbia-unemployment-rate-62-percent-september,19
District of Columbia Unemployment Rate at 6.3 Percent in January | does,/release/district-columbia-unemployment-rate-63-percent-january,1
District of Columbia Unemployment Rate at 7.0 Percent in June | does,/release/district-columbia-unemployment-rate-70-percent-june,1
District of Columbia Unemployment Rate at 7.5 Percent in April | does,/release/district-columbia-unemployment-rate-75-percent-april,1
District of Columbia Unemployment Rate at 8.1 Percent in February | does,/release/district-columbia-unemployment-rate-81-percent-february,1
District of Columbia Unemployment Rate at 8.4 Percent in January | does,/release/district-columbia-unemployment-rate-84-percent-january,1
"District of Columbia Unemployment Rate Drops to 5.6% in November, Reflecting Continued Economic Progress | does",/release/district-columbia-unemployment-rate-drops-56-november-reflecting-continued-economic-progress,4
District of Columbia Unemployment Rate Firm at 5.0 Percent in July | does,/release/district-columbia-unemployment-rate-firm-50-percent-july,1
District of Columbia Unemployment Rate Holds at 5.0 Percent in October | does,/release/district-columbia-unemployment-rate-holds-50-percent-october,1
District of Columbia Unemployment Rate Holds Steady at 5.2% in April | does,/release/district-columbia-unemployment-rate-holds-steady-52-april,1
District of Columbia Unemployment Rate Improves to 4.7 Percent in September | does,/release/district-columbia-unemployment-rate-improves-47-percent-september,1
District of Columbia Unemployment Rate Improves to 6.1 Percent in February | does,/node/1589376,5
District of Columbia Unemployment Rate Improves to 6.1 Percent in February | does,/release/district-columbia-unemployment-rate-improves-61-percent-february,1
District of Columbia Unemployment Rate Sits at 5.1 Percent in December | does,/release/district-columbia-unemployment-rate-sits-51-percent-december,1
District of Columbia Unemployment Rate steadies at 5.9 Percent in June | does,/release/district-columbia-unemployment-rate-steadies-59-percent-june,22
District of Columbia Unemployment Rate Steady at 4.8 Percent in October | does,/release/district-columbia-unemployment-rate-steady-48-percent-october,1
"District of Columbia, Employment Services Agency Celebrate DC Apprenticeship Week | does",/release/district-columbia-employment-services-agency-celebrate-dc-apprenticeship-week,7
Division of State Initiatives Partnerships | does,/service/division-state-initiatives-partnerships,400
DOB Alert | does,/alert/dob-alert-closure,1
DOES & RAMW Team Up to Host Hiring Fair for District Residents | does,/release/does-ramw-team-host-hiring-fair-district-residents,23
DOES 2018 Program Guide | does,/page/does-2018-program-guide,6
DOES Alert | does,/alert/dc-does-alert,2
DOES Alert | does,/alert/does-alert,15
DOES Alert | does,/alert/does-alert-0,2
DOES Alert | does,/node/1574546/revisions/7186486/view,1
