# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches otr.cfo.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
ROD 39 - Transfer-On-Death Deed | otr,/node/501452,519,417,1.2446043165467626,13.587529976019185,1815,0,0
Request for Waiver of Penalties for Failure to File an Income - Expense Form | otr,/publication/request-waiver-penalties-failure-file-income-expense-form,515,354,1.4548022598870056,17.833333333333332,1751,0,0
Real Property Tax Relief and Tax Credits | otr,/page/real-property-tax-relief-and-tax-credits,514,388,1.324742268041237,50.626288659793815,1591,0,0
OTR Recorder of Deeds | otr,/node/389202,511,407,1.2555282555282554,30.921375921375923,1105,0,0
Services | otr,/services,510,397,1.2846347607052897,33.40302267002519,1286,0,0
2024 DC Combined Reporting Instructions and Schedules (Official and Fill-in) | otr,/publication/2024-dc-combined-reporting-instructions-and-schedules-official-and-fill,509,306,1.6633986928104576,8.029411764705882,1930,0,0
ROD 8 - Exemptions - Transfer Tax | otr,/publication/rod-8-exemptions-transfer-tax,506,375,1.3493333333333333,5.136,1524,0,0
Individual Income Tax Forms 2024 Tax Filing Season (Tax Year 2023) | otr,/page/individual-income-tax-forms-2024-tax-filing-season-tax-year-2023,505,388,1.3015463917525774,23.971649484536083,1789,0,0
Real Property FAQs | otr,/page/real-property-faqs,496,388,1.2783505154639174,50.77319587628866,1211,0,0
UCC Chapter 3 of Title 9 DCMR | otr,/page/ucc-chapter-3-title-9-dcmr,494,276,1.789855072463768,57.31521739130435,1603,0,0
"1101 4th Street, SW | otr",/address/1101-4th-street-sw,489,371,1.3180592991913747,17.428571428571427,1617,0,0
How to Apply for Homestead Deduction or Senior Citizen/Disabled Property Tax Relief | otr,/publication/how-apply-homestead-deduction-or-senior-citizendisabled-property-tax-relief,486,400,1.215,13.5725,1625,0,0
Enforcement Actions | otr,/page/enforcement-actions,482,360,1.3388888888888888,44.06944444444444,1584,0,0
Individual Filings FAQs | otr,/page/individual-filings-faqs,471,401,1.174563591022444,41.53615960099751,1398,0,0
Individual Income Taxpayers | otr,/service/individual-income-taxpayers,471,336,1.4017857142857142,37.82738095238095,1133,0,0
We are sorry; the page you requested is no longer available. | otr,/page/homesteadsenior-citizen-deduction,461,302,1.5264900662251655,12.466887417218542,1408,0,0
Collections | otr,/page/collections,460,314,1.464968152866242,28.751592356687897,1337,0,0
ROD 11 - Reduced Recordation Tax Rate for First-Time Homebuyers FY2026 | otr,/node/1800541,455,192,2.3697916666666665,7.723958333333333,1351,0,0
2023 D-40 Booklet | otr,/node/1702786,452,378,1.1957671957671958,4.931216931216931,1166,0,0
Individual Income Tax Service Center | otr,/service/individual-income-tax-service-center,449,392,1.1454081632653061,22.0484693877551,1234,0,0
Notice of Delinquency (TDI) | otr,/page/notice-delinquency-tdi,448,346,1.2947976878612717,49.60115606936416,1381,0,0
We are sorry; the page you requested is no longer available. | otr,/node/393862,445,330,1.3484848484848484,16.303030303030305,1407,0,0
We are sorry; the page you requested is no longer available. | otr,/service/individual-income-tax-service-center,439,437,1.0045766590389016,5.116704805491991,2018,0,0
Qualified High Technology Companies (QHTCs) | otr,/page/qualified-high-technology-companies-qhtcs,437,353,1.2379603399433428,18.124645892351275,1187,0,0
Tax Forms and Publications | otr,/service/tax-forms-and-publications,434,350,1.24,30.48857142857143,1110,0,0
Federal and State E-File Program (Modernized e-File) Business | otr,/page/federal-and-state-e-file-program-modernized-e-file-business,432,214,2.0186915887850465,39.373831775700936,938,0,0
We are sorry; the page you requested is no longer available. | otr,/page/exemptions-and-exempt-organizations ,426,305,1.3967213114754098,8.99016393442623,1454,0,0
Extension of Time to File | otr,/page/extension-time-file,424,322,1.3167701863354038,21.440993788819874,1540,0,0
Sales Tax on Data Processing Services | otr,/page/sales-tax-data-processing-services,420,290,1.4482758620689655,49.91379310344828,1342,0,0
Clean Hands FAQs | otr,/node/1794821,419,339,1.2359882005899705,55.26253687315634,1233,0,0
ROD 2 - Affidavit Addendum FP7CA | otr,/node/393192,418,302,1.3841059602649006,8.92384105960265,1217,0,0
Tobacco Tax Program | otr,/page/tobacco-tax-program,418,266,1.5714285714285714,57.31578947368421,1333,0,0
Sales and Use Tax Booklets | otr,/page/sales-and-use-tax-booklets,411,294,1.3979591836734695,24.846938775510203,1442,0,0
We are sorry; the page you requested is no longer available. | otr,/service/real-property-taxpayers,407,283,1.4381625441696113,9.908127208480565,1272,0,0
OTR Tax Notices and Guidance | otr,/page/otr-tax-notices-and-guidance,405,269,1.5055762081784387,37.41263940520446,1279,0,0
2023 D-40 | otr,/node/1702796,404,314,1.286624203821656,7.156050955414012,1006,0,0
Taxpayer Resources | otr,/page/taxpayer-resources,404,315,1.2825396825396826,31.701587301587303,1249,0,0
Paid Family Leave Taxability | otr,/page/paid-family-leave-taxability,400,295,1.3559322033898304,23.589830508474577,1404,0,0
Sales Tax on Real Property Maintenance Services | otr,/page/sales-tax-real-property-maintenance-services,400,254,1.5748031496062993,28.893700787401574,1108,0,0
Notice of Tax Due | otr,/page/notice-tax-due,395,299,1.3210702341137124,37.30769230769231,1248,0,0
Business Tax Forms and Publications | otr,/page/business-tax-forms-and-publications,392,318,1.2327044025157232,23.459119496855347,1370,0,0
Commercial Refinance and Modification Recording Requirements | otr,/page/commercial-refinance-and-modification-recording-requirements,392,251,1.5617529880478087,30.13545816733068,1186,0,0
ROD 8 - Exemptions - Transfer Tax | otr,/node/393252,390,253,1.541501976284585,5.059288537549407,1103,0,0
Voluntary Disclosure Program | otr,/page/voluntary-disclosure-program-about,390,263,1.4828897338403042,57.20152091254753,1524,0,0
ASD-105 Cancellation of Homestead Deduction - Senior Citizen/Disabled Tax Relief | otr,/publication/asd-105-cancellation-homestead-deduction-senior-citizendisabled-tax-relief,388,211,1.838862559241706,27.834123222748815,1197,0,0
"Homestead Deduction, Senior and Disabled Citizen Tax Relief FAQs | otr",/page/homestead-deduction-senior-and-disabled-citizen-tax-relief-faqs,384,304,1.263157894736842,39.60197368421053,1118,0,0
Partnership Tax Forms | otr,/page/partnership-tax-forms,384,310,1.238709677419355,17.39677419354839,1143,0,0
How to Include the Distributive Share from an Unincorporated Business or Partnership on a Combined Report | otr,/page/how-include-distributive-share-unincorporated-business-or-partnership-combined-report,382,230,1.6608695652173913,45.57826086956522,1343,0,0
ROD 4 - Required for Claiming Exemption from Recordation or Transfer Taxes | otr,/node/393212,378,248,1.5241935483870968,11.116935483870968,1084,0,0
Ballpark Fee | otr,/page/ballpark-fee,375,272,1.3786764705882353,31.202205882352942,1276,0,0
"Homestead Deduction, Senior and Disabled Citizen Tax Relief FAQs | otr",/node/1394661,373,318,1.1729559748427674,49.07861635220126,970,0,0
We are sorry; the page you requested is no longer available. | otr,/node/378972,373,227,1.6431718061674008,20.801762114537446,1057,0,0
Withholding Tax Forms | otr,/am/node/1697946,373,256,1.45703125,39.453125,1221,0,0
We are sorry; the page you requested is no longer available. | otr,/page/individual-income-tax-forms,360,270,1.3333333333333333,6.762962962962963,1181,0,0
2023 D-30 | otr,/node/1703981,359,275,1.3054545454545454,8.843636363636364,829,0,0
We are sorry; the page you requested is no longer available. | otr,/service/business-tax-service-center,359,290,1.2379310344827585,12.086206896551724,1206,0,0
Office of Tax and Revenue Opens Renovated Walk-In Customer Service Center on August 18 | otr,/release/office-tax-and-revenue-opens-renovated-walk-customer-service-center-august-18,358,349,1.0257879656160458,5.871060171919771,733,0,0
Exempt Organizations Frequently Asked Questions (FAQs) | otr,/page/exempt-organizations-frequently-asked-questions-faqs,356,284,1.2535211267605635,31.985915492957748,1253,0,0
